host_id,host_name,listing_count,average_price
3439993,Yoeri,1,
3441513,Ellen,1,
3447868,Inge,1,320.0
3466926,Roni,1,
3471012,Bence,1,
3473052,Marco,1,141.0
3474040,Priscila,1,121.0
3476261,Gayle,1,
3483377,Frank,1,162.0
3488138,Megan,1,288.0
3494191,Maaike,1,
3494317,Jeroen,1,
3498674,Nadia,2,79.5
3508504,Claudia,1,172.0
3509817,Aldo,1,
3518386,Kristel,1,125.0
3522528,Jaap,1,290.0
3522770,Antonio,1,256.0
3523553,Doet,3,121.0
3525873,Maud,1,335.0
3528246,Laura,1,200.0
3529778,Gijs,2,131.0
3546451,Esther,1,
3548142,Garen,1,295.0
3548522,Susanne,1,255.0
3551814,Alwine,1,
3552086,Dennie,1,
3556421,Mirjam,1,90.0
3556607,Barbara,1,
3561531,Rob,1,140.0
3564543,Daniel,1,233.0
3567352,Arnaud,1,176.0
3573065,Paul,1,
3574665,Lotte,1,
3576012,Sheryl,1,249.0
3580802,Sebastian,1,175.0
3584030,Janieke,1,252.0
3585296,Bob,1,218.0
3587641,Lizzy,1,
3592780,Lars & Antoinette,1,
3595473,Andrea,1,188.0
3595588,Renee,1,321.0
3601944,Jacob,3,342.0
3606381,Janneke,1,77.0
3607736,Elmar,2,
3613750,Pieter,1,
3618188,Maartje,1,
3619246,Daan,1,
3627864,Maaike,1,
3632839,Ernestien,1,169.0
3644216,Jeremie,1,
3647272,Katie,1,
3648688,Rogier,1,
3651457,Carlotta,1,195.0
3654068,Alejandro,1,315.0
3657825,Roberto,1,
3657927,Peter Jan,1,315.0
3661217,Dorien,1,
3663294,Alexandra,1,254.0
3664300,Berend,1,
3664575,Martijn,1,
3669063,Nathan,1,
3671340,Fleur,1,400.0
3674207,James,1,400.0
3678216,J & R,1,295.0
3678527,Lidewij,1,
3678603,Fieke,1,
3678680,Melissa,1,
3679437,Jan,1,
3680036,Eefje,1,
3680046,Jan-Willem,1,269.0
3681145,Nick,1,
3689867,Marijke,1,
3703205,Judith,1,
3706220,Rob,1,
3710671,Maurice,1,320.0
3712433,Claire,1,443.0
3713242,Barbara,2,309.0
3718063,Nina,1,
3725575,Lieneke,1,139.0
3727499,Dylan,1,
3732811,Francisca B M,1,
3734965,Joakim,1,
3736600,Michiel,1,122.0
3745762,Pieter,1,400.0
3748993,Esther,1,221.0
3753109,Ruxi,1,189.0
3759538,Willem,1,
3761079,Nigel,1,
3765319,Saskia,1,
3769265,Davide,1,134.0
3775786,Aren,1,463.0
3779178,Sil,1,
3786292,Flavio,2,202.5
3788198,Martin,1,184.0
3788673,Laurens En Petra,2,155.5
3790094,Sara,1,
3802550,Björn,1,
3823105,Suzanna,1,
3823268,Geerke,1,
3825472,Jimmy Tae Jik,2,82.0
3825509,Tatjana,1,
3840119,Claartje,1,175.0
3842476,Ivano,1,
3853735,Barbara,1,
3854958,Simonette,1,
3862044,Leo,1,190.0
3862502,Steven,1,270.0
3875358,Derk,1,267.0
3877342,Nicole,3,295.33
3878625,Meike,1,
3879155,Sjoukje,1,
3884582,Tudor,1,
3884675,Devran,1,
3886755,Mea,1,
3887700,Sydney,2,153.0
3888519,Micha,1,254.0
3888605,Janna,1,
3892074,Leah,1,
3895097,Jill,1,161.0
3899684,City Apartments,2,237.5
3902805,Marlen,1,93.0
3906602,Nathan,1,192.0
3913094,Joost,1,1315.0
3934371,Marc,1,271.0
3938465,Wouter,1,162.0
3945360,Steven,1,170.0
3950493,Koen,1,
3952774,Hila,1,
3956298,Anne,1,484.0
3957095,Mariela,1,
3960958,Hans,1,
3962231,Bing,1,665.0
3970753,Take & Eline,1,429.0
3973771,Caro,1,
3975477,Anna And Robert,1,123.0
3983732,Thomas,1,430.0
3984496,Jihan,1,
3989215,Noa,1,
3990369,Aurelien,1,194.0
3997123,Minne,3,277.0
4000086,Ingo & Marlies,1,
4010427,Andrea,1,180.0
4012448,Hennia,1,
4013546,Xsjong,2,61.0
4028944,Liubov,1,350.0
4029713,Otto,2,130.5
4044111,Aukje,1,255.0
4053541,Sarah,1,192.0
4063977,Marjolein,1,
4067690,Tetske,1,
4068486,Danielle,1,
4074750,Laurian,1,290.0
4076767,Gijs & Carina,1,
4076982,Henriette,1,
4077707,Lea,1,677.0
4082004,Daan,1,
4083211,Lotte,1,
4084500,Chen,1,
4089142,Gopal,1,
4091515,Karin,1,137.0
4094987,Michiel,1,75.0
4108456,Anthony,1,374.0
4112578,Vanessa,1,
4115668,Sharine,1,
4117326,Bas,1,
4118003,Vincenzo,1,
4119946,Bianca,1,
4125732,Louk,1,231.0
4125951,Daniela,1,
4127029,Jaap,1,
4127075,Durk,1,
4138763,Michael,1,
4140676,Umut,1,
4142666,Florian,3,337.33
4145047,Wouter,1,270.0
4147304,Femke,2,328.5
4150442,Meike,1,448.0
4156667,Chris,1,
4161017,Bart,1,
4168597,Inês & Rembrant,1,
4168793,Asaf,1,
4172093,Edward,1,172.0
4172859,Tjade,1,174.0
4173309,Niels,1,
4181760,Paris,1,241.0
4184910,Lydia,1,199.0
4189283,Eva,1,159.0
4192011,Annelot,1,
4197303,Viola & Daniel,1,
4198054,Nora,1,272.0
4201980,Marieke,1,
4203142,Maëva,1,331.0
4214364,Cornelia Berandina Catharina,1,
4214683,Maikel,1,200.0
4215174,Hinde,1,118.0
4215680,Eva,1,
4215905,Yuliya,1,
4217949,Yunus Emre,1,
4221960,Peter,1,140.0
4230303,Jesse,1,
4230677,Joost,1,161.0
4230828,Michiel,1,922.0
4237150,Emile,1,193.0
4239235,Felice,1,
4239541,Eefje,1,219.0
4248038,Anna,3,
4251722,Anouc,1,495.0
4251914,Lisanne And David,1,
4252191,Ardjan & Jose,1,455.0
4258470,Splinter,1,332.0
4258512,Merel,1,
4259102,Mohamed,1,
4267212,Ramona,1,
4271294,Jan-Douwe,1,135.0
4272180,Mike,1,
4277721,Lucie,1,
4279064,Charlotte,1,552.0
4281679,Villa-Casa,1,351.0
4281745,Wisse,1,158.0
4281750,Karin,1,127.0
4286813,Paul,1,112.0
4287801,Sacha,1,131.0
4289713,Jelle,1,
4290554,Joyce,1,130.0
4291496,Niels & Sofia,1,340.0
4293658,Jolan,1,201.0
4294992,Simon,1,
4297337,Liesbeth,1,144.0
4297910,Jeroen,1,
4309450,Manon,1,
4312645,Ben,1,190.0
4313645,Leah,1,
4332423,Judith,1,
4333864,Lisanne,1,
